item_1,item_2,correlation
bfi_open_1,narq_5,0.118067079705744
bfi_open_1,narq_3,0.230494276724255
bfi_open_1,bfi_agree_2,0.103674403542127
bfi_open_1,pvd_infectability_1,0.0367225706040096
bfi_open_1,bfi_consc_2r,-0.0210076770967022
bfi_open_1,soi_r_attitude_6r,-0.0292789891325896
bfi_open_1,asendorpf_shyness_4r,0.183711852440798
bfi_open_1,bfi_neuro_2r,0.0844628164402281
bfi_open_1,bfi_open_2,0.287877257022503
bfi_open_1,bfi_extra_1,0.180174865055408
bfi_open_1,bfi_extra_3,0.275477460214463
bfi_open_1,bfi_agree_3r,0.0045576199936339
bfi_open_1,soi_r_attitude_4,0.014182316975627
bfi_open_1,narq_15,0.277753332611465
bfi_open_1,bfi_consc_3,0.0296891571149967
bfi_open_1,soi_r_attitude_5,0.0693039856360907
bfi_open_1,narq_2,0.27967660830137
bfi_open_1,asendorpf_shyness_2,-0.109644422482092
bfi_open_1,bfi_agree_1r,0.0128516720802896
bfi_open_1,bfi_consc_1,0.0630899179573523
bfi_open_1,narq_11,-0.00881402767240761
bfi_open_1,bfi_neuro_1,-0.0546630147226574
bfi_open_1,bfi_extra_2r,-0.180352220954569
bfi_open_1,bfi_neuro_3,-0.0824768198076068
bfi_open_1,narq_18,0.210708703579101
bfi_open_1,bfi_open_3,0.219276894842151
bfi_open_1,asendorpf_shyness_5,-0.0692863135981232
bfi_open_1,bfi_extra_4,0.336249243377738
bfi_open_1,narq_16,0.333684173599405
bfi_open_1,bfi_agree_4,0.038044838960603
bfi_open_1,bfi_consc_9r,0.0306872814280152
bfi_open_1,bfi_neuro_4,-0.0803886933481327
bfi_open_1,bfi_open_4,0.464769136732223
bfi_open_1,bfi_extra_5r,-0.14900280149656
bfi_open_1,bfi_agree_5,0.0408953956212455
bfi_open_1,narq_1,0.215559928537013
bfi_open_1,bfi_consc_4r,-0.0948420152596008
bfi_open_1,bfi_neuro_5r,0.130138078892517
bfi_open_1,bfi_open_5,0.689930130258959
